property,group
ISOY800104,group-12
DAYM780201,group-12
AURR980120,group-12
AVBF000105,group-12
NAKH900108,group-12
PRAM820101,group-13
KARS160121,group-13
OOBM850101,group-13
ROSM880102,group-13
JOND920102,group-13
WOLS870102,group-13
PUNT030102,group-13
ZIMJ680104,group-13
GEOR030105,group-14
MEEJ800102,group-14
QIAN880137,group-14
SNEP660101,group-14
ARGP820103,group-15
ARGP820102,group-15
ANDN920101,group-16
