,S0,S100,S150,S50,Labels
25,-0.570660141603459,-0.654899147030645,-0.626607088089769,-0.6519628432968607,0
26,-0.5650257251492476,-0.6451278438856269,-0.6185022746642197,-0.6423891875323163,0
27,-0.5591522728454638,-0.6350144707674955,-0.6100816084597517,-0.6324530826591926,0
28,-0.5530329550964053,-0.6244995372461443,-0.6013248624511144,-0.6221545286774897,0
29,-0.5466472831149657,-0.6136127885366264,-0.5922382603383849,-0.611456030851837,0
30,-0.5399815977097411,-0.6022947342088353,-0.5827626769708295,-0.6003575891822347,0
31,-0.5330222396893273,-0.5905453742627708,-0.5729136715986414,-0.5888217089333124,0
32,-0.5257487202666181,-0.5783349634833798,-0.5626445664712416,-0.5768233936148235,0
33,-0.5181405506545073,-0.5656337566556089,-0.55195536158863,-0.5643501449816443,0
34,-0.5101772420658885,-0.5524268811719313,-0.5408149384504204,-0.5513769665435281,0
35,-0.5018383057136557,-0.5386845918172941,-0.5291766193060339,-0.5378663635651045,0
36,-0.4930964232150005,-0.5243771433766434,-0.5170404041554705,-0.5238058378012503,0
37,-0.48393110578281673,-0.5094599180273996,-0.5043596152481509,-0.5091328980263481,0
38,-0.474315035034296,-0.4939180431620359,-0.49110313408368933,-0.49384754424039806,0
39,-0.464207233395226,-0.4776920283504458,-0.4772242829115065,-0.47788728521778306,0
40,-0.45358721207850033,-0.46076700098510237,-0.46272306173160244,-0.46122712446825614,0
41,-0.4424071639142046,-0.4430834706358991,-0.44752167429301204,-0.4438295672564472,0
42,-0.4306397705195305,-0.42461169208778254,-0.4315890020953493,-0.4256321223567388,0
43,-0.4182303951288614,-0.40529217491064634,-0.4148783673880349,-0.406597295033761,0
44,-0.40514488976368684,-0.3850803012819102,-0.39734309242049004,-0.38667509230701996,0
45,-0.39132178806268836,-0.36391658077146755,-0.3789209401919424,-0.36581552119602184,0
46,-0.37670645326024926,-0.3417266503416852,-0.35954967370161994,-0.3439310939849029,0
47,-0.3612442485907529,-0.31845101956245636,-0.3391670559487506,-0.32098431593829274,0
48,-0.34486004850147645,-0.29404507061120105,-0.31769529068236907,-0.29687520109520393,0
49,-0.3274855570353993,-0.26838982262770594,-0.2950565816515103,-0.2715537564751428,0
50,-0.30903881904409647,-0.24142578518186442,-0.2711731326052091,-0.2449324943622454,0
51,-0.2894242201877389,-0.21306372262851658,-0.24595158804230735,-0.2168989305504009,0
52,-0.2685393165307955,-0.1831995267149756,-0.21928303321145381,-0.1873655773237452,0
53,-0.24628849373343717,-0.15171421658102835,-0.19104299411110415,-0.1562324487212909,0
54,-0.2225283302859205,-0.11850368397398801,-0.16113811524010035,-0.12337456229180392,0
55,-0.197135893465608,-0.08343407542611468,-0.129412804096512,-0.08865443733892645,0
56,-0.1699472729756499,-0.046371537469668496,-0.0957114681784088,-0.05193459316630076,0
57,-0.1407985585191965,-0.007137598814329384,-0.059878514983860556,-0.01305255258732244,0
58,-0.10948486222518561,0.03441646661516926,-0.021727233510550822,0.0281541615846133,0
59,-0.07580129622255492,0.07848400271667416,0.018944646494029767,0.07187302302635741,0
60,-0.03948833587462548,0.1252583533880319,0.06237051378277678,0.11832900015013192,0
61,-0.0002727973533143556,0.17500722556472242,0.10881487560897157,0.16773456312303503,0
62,0.04215948074367362,0.2279388357521187,0.1585266799757027,0.22036467333778198,0
63,0.0881909557756548,0.28436550870828137,0.21184823038721676,0.27648179394196476,0
64,0.1381835963148391,0.344584696583743,0.26913738959795347,0.33643587579903955,0
65,0.19275206597441333,0.4089384693516173,0.3307986981129318,0.400551873282215,0
66,0.252237844539481,0.47784326002265093,0.3972833741877493,0.46920473374519406,0
67,0.31746048349429123,0.5517155016075901,0.469089313828583,0.5429443799734077,0
68,0.3890346464520305,0.6310311175472884,0.5468388870431543,0.6221832540559287,0
69,0.46791647681098947,0.7164445025729184,0.6311700230893774,0.707421285797694,0
70,0.555130413926479,0.8083572170877008,0.7228762437270968,0.7995333523573438,0
71,0.651837489067852,0.907706235365815,0.8228599854675082,0.8988944010885809,1
72,0.759471917332544,1.015086461708328,0.9320859218225792,1.0066292740525131,1
73,0.8797410976460734,1.1316877047173721,1.0517365558069807,1.1236128484077805,1
74,1.0147622046760838,1.258253594769281,1.1832122199380846,1.2508449837642577,1
75,1.1669938928753212,1.3961226665414546,1.3280688392351947,1.3895755046342864,1
76,1.3395094803097196,1.546782180786559,1.4883291162234047,1.5413042004326785,1
77,1.5361335405724406,1.7117193982572607,1.6661713459297387,1.707655843025479,1
78,1.761441902783874,1.8927190318567595,1.8642406008870114,1.8906301516324358,1
79,2.021376315204824,2.0923094248645877,2.0856487311338294,2.0923518279245314,1
80,2.323449333107573,2.3125727423344786,2.3344411417203803,2.315820450731389,1
81,2.677222390475025,2.556929683997565,2.615130015202643,2.5637856339801615,1
82,3.0952619433989974,2.82880094958498,2.9334722741520385,2.8404967810128134,1
83,3.594163909435529,3.132648321354722,3.296625173657361,3.1500783127200758,1
84,4.1959878827023225,3.4733797597905895,3.7131463013247763,3.498404404309959,1
