T0,T30,T60,T90,T120
0.212,-13.76,14.16,-15.29,10.85
1.195,9.86,-0.64,-5.78,1.79
-0.561,2.16,4.54,-12.56,8.12
1.627,24.91,25.67,-34.83,3.42
-2.1,21.22,-9.51,-54.93,45.13
1.588,0.99,-5.94,8.98,-2.85
0.417,-2.34,0.22,-0.94,3.5
-1.35,1.89,-3.03,2.03,2.98
1.082,-5.13,10.52,-5.52,-0.96
-1.756,-0.14,-0.49,1.84,-0.44
2.418,-0.23,1.72,-2.6,1.0
0.38,-0.05,0.3,-1.1,0.71
-3.065,84.11,-80.75,56.18,28.4
0.956,-0.76,-0.39,3.78,-2.76
0.811,4.27,-15.43,7.9,4.82
0.086,4.89,-16.84,12.07,-15.71
0.025,-0.68,-0.27,0.4,1.85
0.797,106.09,32.56,-61.57,-58.79
-0.255,0.32,14.77,-14.55,-0.2
0.357,0.0,0.0,0.1,-0.16
-0.499,3.95,-6.54,10.46,-3.77
-1.898,3.58,-4.15,-1.68,6.27
0.654,-0.25,-0.69,-0.3,1.0
0.712,28.18,-12.2,7.93,-20.79
0.016,-0.00999999999999,-0.06,0.073,0.05
-0.915,2.54,-3.59,-8.62,10.81
-0.69,0.66,-1.38,3.19,-1.599
1.064,5.15,1.2,1.24,3.242
1.32,-5.67,6.21,-12.24,3.42
-1.209,32.65,-38.72,28.89,3.73
0.136,0.55,2.38,0.65,-2.18
0.946,-0.44,0.38,0.59,-0.33
-0.178,-0.02,-0.12,0.05,0.28
0.254,-4.93,4.42,-6.75,5.9
-0.224,-5.05,-0.08,-0.32,4.85
0.011,6.68,-16.23,12.85,-1.17
-0.044,0.06,-0.18,0.08,0.4
-0.411,9.51,-17.73,15.78,-11.96
-0.599,0.00999999999999,-0.29,2.45,-0.72
-1.292,4.8,-6.2,2.58,2.13
1.718,1.08,5.04,-5.75,-1.72
1.931,-0.95,1.02,-6.04,6.21
-1.497,-0.06,-0.47,0.84,-0.19
1.979,-19.81,54.76,-6.27,-7.95
0.826,-31.08,32.58,-30.12,22.19
1.05,1.91,3.49,-8.646,-4.73
1.035,-6.67,11.1,-7.74,-5.91
0.625,0.74,-0.04,-0.7,-1.06
-0.148,-2.78,8.58,-9.74,3.61
-0.158,64.3,-31.18,36.7,-1.1
-0.636,24.22,-34.17,-16.27,18.84
0.009,2.36,5.46,-2.37,4.98
-0.7,-20.7,9.96,12.12,-5.65
-1.411,3.3,-62.67,-10.73,32.867
-0.506,-0.34,0.36,0.7,0.64
2.181,-71.08,22.22,74.58,-29.67
0.707,-0.2,0.59,-0.54,0.24
0.976,0.13,-0.36,-1.06,-0.34
1.396,5.94,21.77,-19.88,-14.54
-2.791,-30.33,29.02,-44.1,42.38
-0.906,20.76,-35.83,-22.73,12.99
-0.23,0.35,-0.91,1.57,-0.8
0.722,-0.52,4.11,-4.09,0.09
-0.567,-3.36,7.08,40.73,-34.33
0.052,-3.89,12.62,-1.18,-9.91
-1.012,7.6,-8.19,13.03,-16.32
-0.149,0.16,1.06,0.73,0.95
0.586,-5.01,-18.516,-5.89,-0.00999999999999
0.419,-8.95,11.5,-0.523,-2.735
-1.698,-1.09,-14.87,29.17,-11.44
0.25,-15.64,17.54,-16.59,3.36
-0.008,-0.13,-0.26,-0.17,0.08
-0.023,0.16,-0.97,-0.57,0.47
-0.073,-7.23,-8.23,23.45,-26.35
0.248,-1.26,-0.25,3.32,-3.4
0.248,-29.88,63.0,28.79,-61.78
-0.325,19.39,-27.17,-9.39,16.45
0.4,0.47,-0.36,0.07,0.83
-1.9,-2.75,10.21,-15.04,6.054
1.297,-17.18,16.7,13.58,-16.9
0.631,-0.2,0.06,-1.35,-0.64
